Age,,Girls,,,,,,,,,,,,Boys,,,,,,,,,,,
months,years,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6,mu,sigma,nu,cent0.4,cent2,cent9,cent25,cent50,cent75,cent91,cent98,cent99.6
0,0,48.915645282055,0.03066875540839,0.613395104174244,44.98,45.95,46.93,47.92,48.92,49.92,50.93,51.95,52.98,49.6472520708802,0.0325300912687694,0.0948953818979596,45.51,46.51,47.54,48.58,49.65,50.73,51.84,52.97,54.13
1,0.1,52.8699239503831,0.0308358327079858,0.578292877127668,48.6,49.65,50.72,51.79,52.87,53.96,55.06,56.17,57.29,53.9518410616094,0.0327051878110549,0.0676662118423331,49.43,50.53,51.65,52.79,53.95,55.14,56.35,57.59,58.85
2,0.2,56.7976109274379,0.0310037612221221,0.542459258544515,52.19,53.33,54.47,55.63,56.8,57.98,59.17,60.37,61.58,58.1487698452945,0.0328799067910083,0.0399680854831606,53.26,54.44,55.65,56.89,58.15,59.44,60.75,62.1,63.47
3,0.2,59.7323048342208,0.0311585854935128,0.508283833044021,54.87,56.07,57.28,58.5,59.73,60.98,62.24,63.51,64.8,61.3112202768281,0.0330406455519765,0.0136657169736154,56.14,57.39,58.67,59.98,61.31,62.68,64.07,65.5,66.95
4,0.3,62.1893650199779,0.0313145221069486,0.47356945120261,57.11,58.36,59.62,60.9,62.19,63.49,64.81,66.15,67.5,63.9235591104548,0.0332020002443167,-0.0129131726438147,58.51,59.82,61.16,62.52,63.92,65.35,66.82,68.31,69.84
5,0.4,64.2488150833818,0.0314636649333131,0.440633488817476,58.98,60.28,61.59,62.91,64.25,65.6,66.98,68.36,69.77,66.0253305994938,0.03335571531051,-0.0379760780380004,60.42,61.77,63.16,64.57,66.03,67.51,69.03,70.59,72.18
6,0.5,66.1703269496749,0.0316169835429285,0.407361427339401,60.73,62.06,63.42,64.78,66.17,67.57,68.99,70.43,71.89,67.875725581774,0.0335131693335526,-0.063112647292095,62.09,63.48,64.91,66.38,67.88,69.41,70.98,72.59,74.24
7,0.6,67.8727993919761,0.0317649933573541,0.375977589638909,62.27,63.65,65.04,66.44,67.87,69.32,70.79,72.27,73.78,69.4430524839977,0.0336649062267025,-0.0866234280016382,63.5,64.93,66.4,67.9,69.44,71.02,72.64,74.29,75.99
8,0.7,69.4917941755923,0.0319177973910147,0.344471457990157,63.74,65.15,66.58,68.02,69.49,70.98,72.49,74.02,75.57,70.8975215444096,0.0338215110270777,-0.109994067426409,64.81,66.28,67.78,69.32,70.9,72.52,74.18,75.88,77.62
9,0.8,70.9374973887044,0.0320656914163552,0.31495388054667,65.05,66.49,67.95,69.43,70.94,72.47,74.02,75.59,77.18,72.1896722513441,0.0339731688647028,-0.131638587878947,65.97,67.47,69,70.58,72.19,73.85,75.55,77.29,79.08
10,0.8,72.2754713940716,0.0322137093266367,0.286466077420511,66.25,67.73,69.22,70.74,72.28,73.84,75.43,77.04,78.68,73.4004951143386,0.0341251139069421,-0.152253334014157,67.06,68.58,70.15,71.75,73.4,75.09,76.83,78.61,80.44
11,0.9,73.5615138739454,0.0323668950567583,0.258184345574983,67.41,68.91,70.44,71.99,73.56,75.16,76.79,78.44,80.12,74.59123353335,0.0342825467694872,-0.172399573635705,68.12,69.68,71.27,72.91,74.59,76.32,78.09,79.92,81.79
12,1,74.7290048692904,0.0325153799891028,0.231967526093648,68.46,69.99,71.54,73.12,74.73,76.36,78.02,79.71,81.43,75.7037036686514,0.0344353138515335,-0.190743336126091,69.12,70.7,72.32,73.99,75.7,77.47,79.28,81.14,83.05
13,1.1,75.8695938665587,0.0326690177245133,0.206086847365943,69.48,71.04,72.62,74.23,75.87,77.54,79.23,80.96,82.71,76.8277188702813,0.0345935407319085,-0.208488522629816,70.12,71.73,73.38,75.08,76.83,78.62,80.47,82.37,84.33
14,1.2,76.9205631711913,0.0328178342984249,0.182231608050343,70.43,72.01,73.61,75.25,76.92,78.62,80.35,82.11,83.9,77.9030550470568,0.0347469446241701,-0.224470704954467,71.08,72.71,74.39,76.12,77.9,79.73,81.62,83.56,85.55
15,1.3,77.9614441226941,0.0329716694681366,0.158831911201787,71.36,72.96,74.6,76.26,77.96,79.69,81.45,83.25,85.07,79.0120740653344,0.034905657564005,-0.239734909579042,72.06,73.73,75.44,77.2,79.01,80.88,82.8,84.78,86.81
16,1.3,78.9314407119706,0.0331205030355626,0.137416992134296,72.22,73.85,75.51,77.21,78.93,80.69,82.48,84.31,86.17,80.0840759664779,0.0350593063455534,-0.253276771655584,73.02,74.71,76.45,78.24,80.08,81.98,83.94,85.96,88.03
17,1.4,79.8676181574424,0.0332691862623468,0.117231115332334,73.05,74.71,76.39,78.11,79.87,81.66,83.48,85.34,87.24,81.1406924728544,0.0352128187732086,-0.265589591466597,73.95,75.67,77.44,79.26,81.14,83.07,85.07,87.12,89.24
18,1.5,80.8017596865856,0.0334225431103139,0.0976837831849389,73.88,75.56,77.27,79.02,80.8,82.62,84.48,86.37,88.3,82.2014719769025,0.0353711063179549,-0.277001431390012,74.89,76.64,78.44,80.29,82.2,84.17,86.2,88.29,90.45
19,1.6,81.6755137676071,0.0335705541895625,0.0800556913479773,74.66,76.36,78.09,79.87,81.68,83.52,85.41,87.33,89.3,83.1851968773933,0.0355237717933814,-0.286756466236025,75.76,77.54,79.36,81.24,83.19,85.19,87.25,89.38,91.57
20,1.7,82.5488756054489,0.0337229512666923,0.0631920860416455,75.43,77.15,78.91,80.71,82.55,84.42,86.34,88.3,90.29,84.1455454851293,0.0356808048215482,-0.295484579318376,76.61,78.41,80.26,82.17,84.15,86.18,88.28,90.44,92.67
21,1.7,83.3669667684616,0.0338697683761531,0.048200519254625,76.15,77.9,79.68,81.5,83.37,85.27,87.21,89.2,91.23,85.0103683308593,0.0358318975387144,-0.302603089114447,77.37,79.19,81.07,83.01,85.01,87.07,89.2,91.4,93.67
22,1.8,84.1857288221003,0.0340206496807599,0.0341020055441064,76.87,78.64,80.45,82.3,84.19,86.12,88.09,90.11,92.17,85.8282496451508,0.0359869418314755,-0.308566110600986,78.08,79.93,81.84,83.8,85.83,87.92,90.08,92.31,94.61
23,1.9,84.9547407817064,0.0341657250812799,0.0218254325780087,77.55,79.34,81.17,83.04,84.95,86.91,88.91,90.96,93.05,86.5507050524415,0.036135804504231,-0.312969626576134,78.71,80.58,82.51,84.5,86.55,88.67,90.86,93.11,95.45
24,2,85.7042435330241,0.0343097957598177,0.0109006191337977,78.21,80.02,81.87,83.77,85.7,87.69,89.71,91.79,93.91,87.2222476527546,0.0362834711619051,-0.316021383029396,79.29,81.18,83.13,85.15,87.22,89.37,91.58,93.87,96.23
25,2.1,85.761593377832,0.0347388494000914,0.00102154282653888,78.17,80.01,81.88,83.8,85.76,87.77,89.83,91.93,94.09,87.1796782199898,0.0367273886435466,-0.317764967112675,79.16,81.07,83.04,85.08,87.18,89.35,91.59,93.91,96.3
